a,m,vso,pop,pib,fam_endividadas,porc_divida_financ_casa,selic
2014,jun,4.8,,628064882,0.50,0.13,10.9
2014,jul,3.4,,628064882,0.50,0.12,10.9
2014,ago,7.7,,628064882,0.49,0.13,10.9
2014,set,11.1,,628064882,0.48,0.15,10.9
2014,out,3.9,,628064882,0.45,0.15,11.15
2014,nov,10.1,,628064882,0.44,0.14,11.15
2014,dez,10.7,,628064882,0.43,0.14,11.65
2015,jan,2.7,,,0.39,0.16,12.15
2015,fev,2.7,,,0.39,0.13,12.15
2015,mar,4.4,,,0.42,0.12,12.65
2015,abr,7.2,,,0.49,0.14,13.15
2015,mai,7.1,,,0.55,0.13,13.15
2015,jun,8.6,,,0.54,0.12,13.65
2015,jul,3.7,,,0.53,0.13,14.15
2015,ago,5.6,,,0.55,0.13,14.15
2015,set,5,,,0.55,0.13,14.15
2015,out,4,,,0.52,0.13,14.15
2015,nov,8.3,,,0.49,0.13,14.15
2015,dez,9.6,,,0.50,0.13,14.15
2016,jan,3.4,,,0.52,0.12,14.15
2016,fev,3.1,,,0.51,0.11,14.15
2016,mar,4,,,0.52,0.12,14.15
2016,abr,4.5,,,0.51,0.12,14.15
2016,mai,4.1,,,0.50,0.13,14.15
2016,jun,7.9,,,0.49,0.14,14.15
2016,jul,3.3,,,0.49,0.12,14.15
2016,ago,4.2,,,0.51,0.11,14.15
2016,set,6.6,,,0.52,0.11,14.15
2016,out,5.8,,,0.52,0.11,13.9
