 132ª	23/01/2008		24/01/2008 - 05/03/2008	11,25		1,18	11,18
 131ª	05/12/2007		06/12/2007 - 23/01/2008	11,25		1,40	11,18
 130ª	17/10/2007		18/10/2007 - 05/12/2007	11,25		1,40	11,18
 129ª	05/09/2007		06/09/2007 - 17/10/2007	11,25		1,18	11,18
 128ª	18/07/2007		19/07/2007 - 05/09/2007	11,50		1,51	11,43
 127ª	06/06/2007		07/06/2007 - 18/07/2007	12,00		1,31	11,93
 126ª	18/04/2007		19/04/2007 - 06/06/2007	12,50		1,59	12,43
 125ª	07/03/2007		08/03/2007 - 18/04/2007	12,75		1,38	12,68
 124ª	24/01/2007		25/01/2007 - 07/03/2007	13,00		1,36	12,93
 123ª	29/11/2006		30/11/2006 - 24/01/2007	13,25		1,89	13,19
 122ª	18/10/2006		19/10/2006 - 29/11/2006	13,75		1,43	13,67
 121ª	30/08/2006		31/08/2006 - 18/10/2006	14,25		1,75	14,17
 120ª	19/07/2006		20/07/2006 - 30/08/2006	14,75		1,64	14,67
 119ª	31/05/2006		01/06/2006 - 19/07/2006	15,25		1,92	15,18
 118ª	19/04/2006		20/04/2006 - 31/05/2006	15,75		1,69	15,72
 117ª	08/03/2006		09/03/2006 - 19/04/2006	16,50		1,77	16,50
 116ª	18/01/2006		19/01/2006 - 08/03/2006	17,25		2,11	17,26
 115ª	14/12/2005		15/12/2005 - 18/01/2006	18,00		1,66	18,00
 114ª	23/11/2005		24/11/2005 - 14/12/2005	18,50		1,01	18,49
 113ª	19/10/2005		20/10/2005 - 23/11/2005	19,00		1,60	18,98
 112ª	14/09/2005		15/09/2005 - 19/10/2005	19,50		1,71	19,48
 111ª	17/08/2005		18/08/2005 - 14/09/2005	19,75		1,37	19,74
 110ª	20/07/2005		21/07/2005 - 17/08/2005	19,75		1,44	19,75
 109ª	15/06/2005		16/06/2005 - 20/07/2005	19,75		1,80	19,73
 108ª	18/05/2005		19/05/2005 - 15/06/2005	19,75		1,37	19,75
 107ª	20/04/2005		22/04/2005 - 18/05/2005	19,50		1,35	19,51
 106ª	16/03/2005		17/03/2005 - 21/04/2005	19,25		1,69	19,24
 105ª	16/02/2005		17/02/2005 - 16/03/2005	18,75		1,37	18,75
 104ª	19/01/2005		20/01/2005 - 16/02/2005	18,25		1,20	18,25
 103ª	15/12/2004		16/12/2004 - 19/01/2005	17,75		1,63	17,74
 102ª	17/11/2004		18/11/2004 - 15/12/2004	17,25		1,27	17,23
 101ª	20/10/2004		21/10/2004 - 17/11/2004	16,75		1,11	16,71
 100ª	15/09/2004		16/09/2004 - 20/10/2004	16,25		1,44	16,23
 99ª	18/08/2004		19/08/2004 - 15/09/2004	16,00		1,12	15,90
 98ª	21/07/2004		22/07/2004 - 18/08/2004	16,00		1,17	15,83
 97ª	16/06/2004		17/06/2004 - 21/07/2004	16,00		1,46	15,79
 96ª	19/05/2004		20/05/2004 - 16/06/2004	16,00		1,11	15,79
 95ª	14/04/2004		15/04/2004 - 19/05/2004	16,00		1,41	15,80
 94ª	17/03/2004		18/03/2004 - 14/04/2004	16,25		1,13	16,09
 93ª	18/02/2004		19/02/2004 - 17/03/2004	16,50		1,08	16,28
 92ª	21/01/2004		22/01/2004 - 18/02/2004	16,50		1,21	16,30
